"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2005-04-26,"TP","mg/L",0.08,"Lee County"
"PI-02",2005-04-26,"TSS","mg/L",18.2,"Lee County"
"PI-02",2005-04-26,"Turb","NTU",3.8,"Lee County"
"PI-02",2005-05-16,"Chla","ug/L",4.7,"Lee County"
"PI-02",2005-05-16,"color","PCU",34.1,"Lee County"
"PI-02",2005-05-16,"DO.mgL","mg/L",6.9,"Lee County"
"PI-02",2005-05-16,"K.par","1/m",1.2,"Lee County"
"PI-02",2005-05-16,"NOx","mg/L",0.15,"Lee County"
"PI-02",2005-05-16,"Pheo","ug/L",1.3,"Lee County"
"PI-02",2005-05-16,"sal","PSU",14,"Lee County"
"PI-02",2005-05-16,"secchi","meters",1.6,"Lee County"
"PI-02",2005-05-16,"SPC","uS/cm",23200,"Lee County"
"PI-02",2005-05-16,"TKN","mg/L",0.84,"Lee County"
"PI-02",2005-05-16,"TN","mg/L",0.99,"Lee County"
"PI-02",2005-05-16,"TOC","mg/L",10.1,"Lee County"
"PI-02",2005-05-16,"TP","mg/L",0.09,"Lee County"
"PI-02",2005-05-16,"TSS","mg/L",1.5,"Lee County"
"PI-02",2005-05-16,"Turb","NTU",1.34,"Lee County"
"PI-02",2005-06-14,"Chla","ug/L",3.5,"Lee County"
"PI-02",2005-06-14,"color","PCU",149.1,"Lee County"
"PI-02",2005-06-14,"DO.mgL","mg/L",5.7,"Lee County"
"PI-02",2005-06-14,"K.par","1/m",1.34,"Lee County"
"PI-02",2005-06-14,"NOx","mg/L",0.37,"Lee County"
"PI-02",2005-06-14,"Pheo","ug/L",1.1,"Lee County"
"PI-02",2005-06-14,"sal","PSU",1,"Lee County"
"PI-02",2005-06-14,"secchi","meters",0.9,"Lee County"
"PI-02",2005-06-14,"SPC","uS/cm",1460,"Lee County"
"PI-02",2005-06-14,"TKN","mg/L",1.05,"Lee County"
"PI-02",2005-06-14,"TN","mg/L",1.4,"Lee County"
"PI-02",2005-06-14,"TOC","mg/L",16.1,"Lee County"
"PI-02",2005-06-14,"TP","mg/L",0.18,"Lee County"
"PI-02",2005-06-14,"TSS","mg/L",4,"Lee County"
"PI-02",2005-06-14,"Turb","NTU",3.2,"Lee County"
"PI-02",2005-07-26,"Chla","ug/L",4.1,"Lee County"
"PI-02",2005-07-26,"color","PCU",122,"Lee County"
"PI-02",2005-07-26,"DO.mgL","mg/L",4.9,"Lee County"
"PI-02",2005-07-26,"K.par","1/m",2.35,"Lee County"
"PI-02",2005-07-26,"NOx","mg/L",0.19,"Lee County"
"PI-02",2005-07-26,"Pheo","ug/L",1,"Lee County"
"PI-02",2005-07-26,"sal","PSU",4,"Lee County"
"PI-02",2005-07-26,"secchi","meters",1,"Lee County"
"PI-02",2005-07-26,"SPC","uS/cm",8000,"Lee County"
"PI-02",2005-07-26,"TKN","mg/L",0.86,"Lee County"
"PI-02",2005-07-26,"TN","mg/L",1,"Lee County"
"PI-02",2005-07-26,"TOC","mg/L",13.7,"Lee County"
"PI-02",2005-07-26,"TP","mg/L",0.11,"Lee County"
"PI-02",2005-07-26,"TSS","mg/L",5,"Lee County"
"PI-02",2005-07-26,"Turb","NTU",2.7,"Lee County"
"PI-02",2005-08-23,"Chla","ug/L",5.6,"Lee County"
"PI-02",2005-08-23,"color","PCU",92,"Lee County"
"PI-02",2005-08-23,"DO.mgL","mg/L",5.9,"Lee County"
"PI-02",2005-08-23,"K.par","1/m",1.42,"Lee County"
"PI-02",2005-08-23,"NOx","mg/L",0.09,"Lee County"
"PI-02",2005-08-23,"Pheo","ug/L",2.5,"Lee County"
"PI-02",2005-08-23,"sal","PSU",5,"Lee County"
"PI-02",2005-08-23,"secchi","meters",0.8,"Lee County"
"PI-02",2005-08-23,"SPC","uS/cm",8880,"Lee County"
"PI-02",2005-08-23,"TKN","mg/L",0.89,"Lee County"
"PI-02",2005-08-23,"TN","mg/L",0.98,"Lee County"
"PI-02",2005-08-23,"TOC","mg/L",9.25,"Lee County"
"PI-02",2005-08-23,"TP","mg/L",0.09,"Lee County"
"PI-02",2005-08-23,"TSS","mg/L",6,"Lee County"
"PI-02",2005-08-23,"Turb","NTU",2.5,"Lee County"
"PI-02",2005-09-13,"Chla","ug/L",5.8,"Lee County"
"PI-02",2005-09-13,"color","PCU",44.9,"Lee County"
"PI-02",2005-09-13,"DO.mgL","mg/L",6.2,"Lee County"
"PI-02",2005-09-13,"K.par","1/m",0.91,"Lee County"
"PI-02",2005-09-13,"NOx","mg/L",0.01,"Lee County"
"PI-02",2005-09-13,"Pheo","ug/L",2.3,"Lee County"
"PI-02",2005-09-13,"sal","PSU",15,"Lee County"
"PI-02",2005-09-13,"secchi","meters",1,"Lee County"
"PI-02",2005-09-13,"SPC","uS/cm",25300,"Lee County"
